VendorNumber,VendorName,Brand,Description,Volume,TotalPurchaseQuantity,ActualPrice,PurchasePrice,TotalPurchaseDollars,TotalSalesDollars,TotalSalesQuantity,AverageSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
1128,BROWN-FORMAN CORP,1927,Jack Daniels Barrel Proof,750.0,1810,69.99,51.84,93830.3999999996,89296.4100000009,1359.0,75888.45000000017,1071.9999999999873,68601.68000000001,-98364.3899999983,-0.05077460560842983,0.7508287292817679,0.9516788801923608
17035,PERNOD RICARD USA,3457,Olmeca Altos Plata Tequila,1750.0,4187,34.99,22.38,93705.05999999944,146813.38000000248,4162.0,111210.49000000552,7651.020000000277,123780.21999999996,-40596.73999999638,0.361740326392609,0.9940291378074994,1.566760428945922
3924,HEAVEN HILL DISTILLERIES,3660,Deep Eddy Ruby Red Vodka,1750.0,4447,27.99,21.05,93609.35000000065,100757.25000000268,3875.0,67247.18999999869,7121.980000000232,14069.869999999995,-86461.44999999859,0.07094179327047773,0.8713739599730155,1.0763588252669418
4425,MARTIGNETTI COMPANIES,10236,Layer Cake Malbec Mendoza,750.0,11985,14.99,7.81,93602.85000000052,178565.60000000315,12944.0,80862.04999999488,1443.760000000001,144929.24,-8640.09999999791,0.4758069303382126,1.0800166875260742,1.9076940499141013
17035,PERNOD RICARD USA,8184,Kahlua,50.0,60365,1.99,1.55,93565.74999999996,119085.58000000584,59842.0,31366.38000001049,3118.989999999912,123780.21999999996,-68045.91999999408,0.21429823829219818,0.9913360390955024,1.2727475598710627
6213,MHW LTD,8398,Casamigos Blanco,750.0,2803,46.99,33.33,93423.98999999985,144663.93000000232,2907.0,107728.40000000344,2291.8599999999574,9621.580000000002,-42184.04999999734,0.3541998340567801,1.0371031038173386,1.5484666197622536
3960,DIAGEO NORTH AMERICA INC,8898,Yukon Jack,1750.0,4944,25.99,18.83,93095.51999999984,127610.90000000484,4910.0,87716.2500000028,9025.260000000324,257032.0700000001,-58580.1399999948,0.2704736037439097,0.9931229773462784,1.370752319767966
3960,DIAGEO NORTH AMERICA INC,2476,Crown Royal Maple Whisky,750.0,5543,22.99,16.79,93066.97000000012,157718.86000000403,6614.0,107038.31000000716,5213.189999999861,257032.0700000001,-28415.079999996236,0.4099185728327117,1.193216669673462,1.694681367621658
3924,HEAVEN HILL DISTILLERIES,3863,Evan Williams Honey Reserve,1750.0,6003,24.99,15.5,93046.5,117859.63000000478,5537.0,83491.1100000023,10177.720000000394,14069.869999999995,-68233.36999999522,0.21053120563846817,0.9223721472597036,1.266674512206314
17035,PERNOD RICARD USA,3201,Plymouth Gin,750.0,4226,29.99,21.96,92802.95999999942,124822.5800000042,4142.0,84819.88000000193,3264.339999999969,123780.21999999996,-60783.33999999464,0.25652105572568445,0.9801230477993376,1.345028003417186
1128,BROWN-FORMAN CORP,5297,Southern Comfort,750.0,8616,13.99,10.76,92708.15999999992,115819.9000000056,8010.0,65972.65999999727,6309.7699999998185,68601.68000000001,-69596.41999999425,0.1995489548860305,0.9296657381615598,1.2492956391325822
516,BANFI PRODUCTS CORP,18347,Banfi Pnt Grigio San Angelo,750.0,10798,14.99,8.58,92646.84000000014,156530.98000000324,10202.0,71506.62999999893,1137.060000000021,8510.410000000002,-28762.699999997043,0.4081245770006792,0.9448045934432302,1.6895447270517052
4425,MARTIGNETTI COMPANIES,28856,Seghesio Znfdl Sonoma,750.0,8085,19.99,11.45,92573.24999999996,148531.8500000038,7099.0,70874.5099999972,790.8200000000348,144929.24,-36614.64999999615,0.37674478571432596,0.8780457637600495,1.6044791556956663
